Date,Value
2002-09-30,173.34262174603
2002-08-31,149.61353
2002-07-31,132.64463666667
2002-06-30,115.411857
2002-05-31,104.09640521739
2002-04-30,104.80295833333
2002-03-31,102.55157366667
2002-02-28,103.837602
2002-01-31,106.18919666667
2001-12-31,104.37038516667
2001-11-30,106.80159111111
2001-10-31,104.83127855072
2001-09-30,103.176216
2001-08-31,104.22420927536
2001-07-31,108.34371166667
2001-06-30,109.42613873016
2001-05-31,110.77416724638
2001-04-30,106.15420269841
2001-03-31,105.571235
2001-02-28,103.32319066667
2001-01-31,109.479425
2000-12-31,113.74002016667
2000-11-30,105.03678166667
2000-10-31,107.775855
2000-09-30,103.44217015873
2000-08-31,96.65181884058
2000-07-31,97.125758888889
2000-06-30,103.366615
2000-05-31,99.112046956522
2000-04-30,94.431223333333
